Region,Gender,Year,Variable,Number
NB,Males,2011,Strong sense of belonging,211300
NB,Females,2011,Strong sense of belonging,234298
Quebec,Males,2011,Strong sense of belonging,1749402
Quebec,Females,2011,Strong sense of belonging,1892991
Ontario,Males,2011,Strong sense of belonging,3517584
Ontario,Females,2011,Strong sense of belonging,3826966
Manitoba,Males,2011,Strong sense of belonging,309362
Manitoba,Females,2011,Strong sense of belonging,346441
Saskatchewan,Males,2011,Strong sense of belonging,297848
Saskatchewan,Females,2011,Strong sense of belonging,288245
Alberta,Males,2011,Strong sense of belonging,918498
Alberta,Females,2011,Strong sense of belonging,1022656
BC,Males,2011,Strong sense of belonging,1221905
BC,Females,2011,Strong sense of belonging,1402009
Yukon,Males,2011,Strong sense of belonging,10846
Yukon,Females,2011,Strong sense of belonging,12212
NWT,Males,2011,Strong sense of belonging,14452
NWT,Females,2011,Strong sense of belonging,13123
Nunavut,Males,2011,Strong sense of belonging,6725
Nunavut,Females,2011,Strong sense of belonging,6943
Canada,Males,2012,Strong sense of belonging,9251958
Canada,Females,2012,Strong sense of belonging,9605218
NFL,Males,2012,Strong sense of belonging,161452
NFL,Females,2012,Strong sense of belonging,173575
PEI,Males,2012,Strong sense of belonging,43494
PEI,Females,2012,Strong sense of belonging,46598
NS,Males,2012,Strong sense of belonging,259262
NS,Females,2012,Strong sense of belonging,300101
NB,Males,2012,Strong sense of belonging,221157
NB,Females,2012,Strong sense of belonging,219722
Quebec,Males,2012,Strong sense of belonging,1929399
Quebec,Females,2012,Strong sense of belonging,1985207
Ontario,Males,2012,Strong sense of belonging,3676921
Ontario,Females,2012,Strong sense of belonging,3906263
Manitoba,Males,2012,Strong sense of belonging,352743
Manitoba,Females,2012,Strong sense of belonging,314629
Saskatchewan,Males,2012,Strong sense of belonging,294747
Saskatchewan,Females,2012,Strong sense of belonging,309271
Alberta,Males,2012,Strong sense of belonging,1041548
Alberta,Females,2012,Strong sense of belonging,970697
BC,Males,2012,Strong sense of belonging,1237696
BC,Females,2012,Strong sense of belonging,1348505
Yukon,Males,2012,Strong sense of belonging,10971
Yukon,Females,2012,Strong sense of belonging,10938
NWT,Males,2012,Strong sense of belonging,14946
NWT,Females,2012,Strong sense of belonging,12686
Nunavut,Males,2012,Strong sense of belonging,7621
Nunavut,Females,2012,Strong sense of belonging,7024
Canada,Males,2013,Strong sense of belonging,9262880
Canada,Females,2013,Strong sense of belonging,9781677
NFL,Males,2013,Strong sense of belonging,155462
NFL,Females,2013,Strong sense of belonging,173313
PEI,Males,2013,Strong sense of belonging,42167
PEI,Females,2013,Strong sense of belonging,45345
NS,Males,2013,Strong sense of belonging,271156
NS,Females,2013,Strong sense of belonging,289449
NB,Males,2013,Strong sense of belonging,206492
NB,Females,2013,Strong sense of belonging,235087
Quebec,Males,2013,Strong sense of belonging,1912437
Quebec,Females,2013,Strong sense of belonging,1966887
Ontario,Males,2013,Strong sense of belonging,3690854
Ontario,Females,2013,Strong sense of belonging,3921492
Manitoba,Males,2013,Strong sense of belonging,347528
Manitoba,Females,2013,Strong sense of belonging,340438
Saskatchewan,Males,2013,Strong sense of belonging,294745
Saskatchewan,Females,2013,Strong sense of belonging,305564
Alberta,Males,2013,Strong sense of belonging,1003467
Alberta,Females,2013,Strong sense of belonging,1044534
BC,Males,2013,Strong sense of belonging,1303376
BC,Females,2013,Strong sense of belonging,1423838
Yukon,Males,2013,Strong sense of belonging,11097
Yukon,Females,2013,Strong sense of belonging,11299
NWT,Males,2013,Strong sense of belonging,13584
NWT,Females,2013,Strong sense of belonging,13238
Nunavut,Males,2013,Strong sense of belonging,10514
Nunavut,Females,2013,Strong sense of belonging,11193
